UID          PID    PPID CLS PRI    SZ   RSS PSR STIME TTY      STAT   TIME CMD
root       37501   34467 TS   19  4246  7808   1 00:32 pts/5    S+     0:00 sudo ./father2
root         349       2 TS   39     0     0   2 мар27 ?     I<     0:00  \_ [cfg80211]
root         363       2 FF   90     0     0   0 мар27 ?     S      0:01  \_ [irq/135-iwlwifi:default_queue]
root         364       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [irq/136-iwlwifi:queue_1]
root         365       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [irq/137-iwlwifi:queue_2]
root         367       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [irq/138-iwlwifi:queue_3]
root         368       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [irq/139-iwlwifi:queue_4]
root         369       2 TS   39     0     0   3 мар27 ?     I<     0:00  \_ [cryptd]
root         370       2 FF   90     0     0   0 мар27 ?     S      0:00  \_ [irq/140-iwlwifi:exception]
root         432       2 FF   90     0     0   2 мар27 ?     S      0:00  \_ [card0-crtc0]
root         433       2 FF   90     0     0   2 мар27 ?     S      0:00  \_ [card0-crtc1]
root         434       2 FF   90     0     0   2 мар27 ?     S      0:00  \_ [card0-crtc2]
root        1181       2 TS   29     0     0   1 мар27 ?     S<     0:00  \_ [krfcommd]
root        6851       2 FF   90     0     0   1 мар27 ?     S      0:00  \_ [irq/128-mei_me]
root       20687       2 TS   39     0     0   2 мар27 ?     I<     0:00  \_ [tls-strp]
root       23859       2 TS   19     0     0   0 мар27 ?     I      0:01  \_ [kworker/u8:8-btrfs-endio-write]
root       24541       2 TS   19     0     0   1 мар27 ?     I      0:01  \_ [kworker/u8:9-btrfs-endio-write]
root       24839       2 TS   19     0     0   0 мар27 ?     I      0:01  \_ [kworker/u8:10-btrfs-endio-write]
root       25679       2 TS   19     0     0   3 мар27 ?     I      0:01  \_ [kworker/u8:0-events_unbound]
root       26961       2 TS   39     0     0   2 мар27 ?     I<     0:04  \_ [kworker/u9:0-i915_flip]
root       29498       2 TS   19     0     0   3 мар27 ?     I      0:00  \_ [kworker/u8:1-events_power_efficient]
root       31445       2 TS   19     0     0   2 мар27 ?     I      0:00  \_ [kworker/u8:2-events_power_efficient]
root       32080       2 TS   19     0     0   0 мар27 ?     I      0:00  \_ [kworker/u8:4-btrfs-endio-write]
root       33235       2 TS   19     0     0   3 мар27 ?     I      0:00  \_ [kworker/3:1-events]
root       33400       2 TS   19     0     0   1 00:00 ?        I      0:00  \_ [kworker/1:0-events]
root       33502       2 TS   39     0     0   1 00:01 ?        I<     0:01  \_ [kworker/u9:2-i915_flip]
root       34549       2 TS   19     0     0   0 00:12 ?        I      0:00  \_ [kworker/0:0-events]
root       34740       2 TS   19     0     0   3 00:13 ?        I      0:00  \_ [kworker/u8:3-btrfs-endio-write]
root       35511       2 TS   19     0     0   2 00:17 ?        R      0:00  \_ [kworker/2:0-events]
root       35762       2 TS   19     0     0   1 00:19 ?        I      0:00  \_ [kworker/1:2-events]
root       36040       2 TS   19     0     0   3 00:21 ?        I      0:00  \_ [kworker/3:2-events]
root       36656       2 TS   19     0     0   0 00:23 ?        I      0:00  \_ [kworker/0:2-events]
root       37030       2 TS   19     0     0   2 00:27 ?        I      0:00  \_ [kworker/2:1]
root       37079       2 TS   19     0     0   0 00:28 ?        I      0:00  \_ [kworker/0:1-events]
root       37132       2 TS   39     0     0   3 00:29 ?        I<     0:00  \_ [kworker/u9:1-rb_allocator]
root       37357       2 TS   39     0     0   3 00:32 ?        I<     0:00  \_ [kworker/u9:3]
root       37469       2 TS   19     0     0   1 00:32 ?        I      0:00  \_ [kworker/u8:5-i915]
root           1       0 TS   19 41945 13396   0 мар27 ?     Ss     0:02 /sbin/init
root         209       1 TS   19 32823 32500   0 мар27 ?     Ss     0:06 /usr/lib/systemd/systemd-journald
root         232       1 TS   19  8369 10596   3 мар27 ?     Ss     0:00 /usr/lib/systemd/systemd-udevd
root         423       1 TS   19  1903  3876   3 мар27 ?     Ss     0:00 /bin/sh /usr/bin/grub-btrfsd --syslog --timeshift-auto
root         678     423 TS   19   675  1540   1 мар27 ?     S      0:00  \_ inotifywait -q -q -e create -e delete /run/timeshift
root         431       1 TS   19 12318  8928   1 мар27 ?     Ss     0:00 /usr/lib/systemd/systemd-logind
root         435       1 TS   19 110631 18796  1 мар27 ?     Ssl    1:02 /usr/bin/touchegg --daemon
root         439       1 TS   19 139151 22772  1 мар27 ?     Ssl    0:51 /usr/bin/NetworkManager --no-daemon
root         469       1 TS   19 35999 20908   3 мар27 ?     Ssl    0:00 /usr/bin/sddm
root         626     469 TS   19 301009 161432 0 мар27 tty1  Ssl+  27:57  \_ /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt1 -auth /var/run/sddm/{df666f7c-39f5-4a32-87b4-9191d432e364} -noreset -displayfd 17
root         954     469 TS   19 16889 19352   1 мар27 ?     S      0:00  \_ /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth378c23f5-d96f-4ed5-985f-3b0ab5e034dd --id 1 --start /usr/bin/startplasma-x11 --user leksil
root         693       1 TS   19  3045  6232   3 мар27 ?     Ss     0:00 /usr/lib/bluetooth/bluetoothd
root         703       1 TS   19  4400 11996   1 мар27 ?     Ss     0:02 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
root         913       1 TS   19 116895 14852  0 мар27 ?     Ssl    0:00 /usr/lib/udisks2/udisksd
root         933       1 TS   19 79583 12616   2 мар27 ?     Ssl    0:10 /usr/lib/upowerd
root       17221       1 TS   19 223673 104388 1 мар27 ?     Ssl    0:05 /usr/bin/pamac-daemon
